identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,pictogrammes,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_idCategorie,pictogrammes_idPicto,pictogrammes_image,pictogrammes_infoBulle,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,page,nro_paginas
958,5601019012401,958,5601019012401,1,500.0,99,Guloso,Polpa de Tomate,Embalagem de 500g,1.09,2.18,2.18,0.0,0,[],500,500,0,0,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20EBC153FCFDA3F6B93B2650D6C60B2B.jpg,,,,1,16
20366,7622210981141,20366,7622210981141,1,150.0,99,Philadelphia,Queijo creme de ervas finas,Embalagem de 150g,1.99,13.27,13.27,0.0,0,[],150,150,0,0,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/387760CE40B92A0462A1AF5F8E61AAE0.jpg,,,,1,16
8383,5601049132995,8383,5601049132995,1,1000.0,99,Mimosa,Leite uht meio gordo,Embalagem de 1 litro,0.89,0.89,0.89,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30AE72C16512D7F6E9C8B5E7CBD4B0A2.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,1,16
13866,2891048000000,13866,2891048000000,500,1000.0,99,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,3.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,1,16
251,2696001000000,251,2696001000000,1,400.0,99,Padaria,Baguete,400 g,0.69,1.73,1.73,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",400,400,0,0,True,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",-,,,PUP,Pièce avec poids,kg,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/872B1FA740AE707B5EB206709F5F94A0.jpg,,,,1,16
12972,2892040000000,12972,2892040000000,250,1000.0,99,Fruta,Banana,1 un = 200 gr (aprox.),0.99,0.99,0.99,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",1000,1000,0,0,True,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: COSTA RICA,CAT: I,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C368220872795E9863F1F37C2230CCEA.jpg,,,,1,16
18595,8410500016012,18595,8410500016012,1,400.0,99,Danonino Danone,"Iogurte líquido danonino morango,  4 x 100 g",,1.79,4.48,4.48,0.0,0,[],400,400,0,0,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,,1,16
9293,5603722493942,9293,5603722493942,1,250.0,99,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,1.99,7.96,7.96,0.0,0,[],250,250,0,0,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B98CBCDF9DE77B1D84C2C6375C3439D.jpg,,,,1,16
18628,5601028002707,18628,5601028002707,1,,99,Renova,Rolo de Cozinha Multi,4 Rolos,1.49,1.49,1.49,0.0,0,[],0,0,0,0,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,0.0,PU,Pièce unitaire,,€/Unidade,,,,,,,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC28E7C70040AEF56E88826756B8374D.jpg,,,,1,16
23762,5600202948305,23762,5600202948305,1,750.0,99,Valleperro,Vinho doc douro reserva tinto,Garrafa de 0.75 l,4.49,5.99,5.99,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,750,False,False,"[{'dateFin': '2024-05-29T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-05-29T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A1EFDD4503301D6A933720FD863CF389.jpg,,,,1,16
